school,date,type,count
YMCA - East Boston,2021-10-01,Coaching session with the leadership team,2
YMCA - East Boston,2021-11-01,Classroom coaching session,3
YMCA - East Boston,2021-12-01,Classroom coaching session,1
YMCA - East Boston,2022-01-01,Classroom coaching session,1
YMCA - East Boston,2022-03-01,"Coaching session with the leadership team,Classroom coaching session",2
YMCA - East Boston,2022-03-01,Classroom coaching session,3
YMCA - East Boston,2022-03-01,PD session,1
YMCA - East Boston,2022-04-01,"Coaching session with the leadership team,Classroom coaching session",1
YMCA - East Boston,2022-04-01,Classroom coaching session,1
South Boston Neighborhood House,2021-11-01,Coaching session with the leadership team,2
South Boston Neighborhood House,2021-12-01,Classroom coaching session,1
South Boston Neighborhood House,2022-03-01,Classroom coaching session,1
YMCA RTH,2022-03-01,Classroom coaching session,1
ABCD - Jamaica Plain,2021-10-01,"Coaching session with the leadership team,Classroom coaching session",1
ABCD - Jamaica Plain,2021-10-01,Classroom coaching session,1
ABCD - Jamaica Plain,2021-09-01,Coaching session with the leadership team,1
ABCD - Jamaica Plain,2021-09-01,Classroom coaching session,1
ABCD - Jamaica Plain,2021-11-01,Classroom coaching session,2
ABCD - Jamaica Plain,2022-03-01,Classroom coaching session,1
Shaloh,2021-10-01,Classroom coaching session,1
Shaloh,2021-12-01,Classroom coaching session,1
Shaloh,2022-03-01,Classroom coaching session,1
Children Services of Roxbury,2021-11-01,Classroom coaching session,1
Children Services of Roxbury,2022-02-01,Classroom coaching session,1
Children Services of Roxbury,2022-03-01,"Coaching session with the leadership team,Classroom coaching session,Licensing, accreditation, or QRIS",1
Children Services of Roxbury,2022-03-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
Children Services of Roxbury,2022-04-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
ABCD - Walnut Grove,2021-09-01,Coaching session with the leadership team,1
ABCD - Walnut Grove,2021-09-01,Classroom coaching session,1
ABCD - Walnut Grove,2021-10-01,"Classroom coaching session,PD session",1
ABCD - Walnut Grove,2021-10-01,Classroom coaching session,1
ABCD - Walnut Grove,2021-11-01,PD session,1
ABCD - Walnut Grove,2021-11-01,"Coaching session with the leadership team,Classroom coaching session",1
Mission Grammar,2021-10-01,Classroom coaching session,1
Mission Grammar,2021-11-01,"Coaching session with the leadership team,Classroom coaching session",2
Mission Grammar,2021-11-01,Classroom coaching session,1
Mission Grammar,2021-12-01,Classroom coaching session,1
Mission Grammar,2022-03-01,Classroom coaching session,1
Mission Grammar,2022-04-01,Classroom coaching session,1
East Boston Social Center,2022-03-01,"Coaching session with the leadership team,Classroom coaching session",1
East Boston Social Center,2022-03-01,"Coaching session with the leadership team,Classroom coaching session,Licensing, accreditation, or QRIS",1
East Boston Social Center,2022-04-01,"Coaching session with the leadership team,Classroom coaching session",1
IBA,2021-11-01,"Coaching session with the leadership team,Classroom coaching session",1
IBA,2021-10-01,Classroom coaching session,1
JFK Center,2021-09-01,Coaching session with the leadership team,1
JFK Center,2021-09-01,Classroom coaching session,2
JFK Center,2021-10-01,Classroom coaching session,2
JFK Center,2021-10-01,Coaching session with the leadership team,1
JFK Center,2021-11-01,Classroom coaching session,3
JFK Center,2021-11-01,Coaching session with the leadership team,1
JFK Center,2022-03-01,Classroom coaching session,3
JFK Center,2022-03-01,Coaching session with the leadership team,1
JFK Center,2022-04-01,"Coaching session with the leadership team,Classroom coaching session",1
Little Voices,2021-09-01,Classroom coaching session,1
Little Voices,2021-09-01,Coaching session with the leadership team,1
Little Voices,2021-10-01,Classroom coaching session,3
Little Voices,2021-11-01,Classroom coaching session,6
Little Voices,2021-11-01,Coaching session with the leadership team,1
Little Voices,2021-12-01,Classroom coaching session,2
Little Voices,2021-12-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
Little Voices,2022-02-01,Classroom coaching session,2
Little Voices,2022-03-01,Classroom coaching session,4
Little Voices,2022-03-01,Coaching session with the leadership team,1
Boys & Girls Club - McLaughlin,2021-09-01,Classroom coaching session,1
Boys & Girls Club - McLaughlin,2021-11-01,Coaching session with the leadership team,1
Boys & Girls Club - McLaughlin,2022-03-01,Classroom coaching session,1
Torah Academy,2021-10-01,Coaching session with the leadership team,1
Torah Academy,2021-10-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
Torah Academy,2022-03-01,"Classroom coaching session,Licensing, accreditation, or QRIS",1
Torah Academy,2022-03-01,Classroom coaching session,2
Boys & Girls Club - Denny,2021-10-01,Classroom coaching session,1
Boys & Girls Club - Denny,2021-11-01,Classroom coaching session,1
Boys & Girls Club - Denny,2022-01-01,Classroom coaching session,1
Boys & Girls Club - Denny,2022-03-01,Classroom coaching session,1
BCNC,2021-11-01,"Licensing, accreditation, or QRIS",1
Children's Services of Roxbury,2021-11-01,Classroom coaching session,1
Horizons for Children,2021-10-01,Coaching session with the leadership team,1
Horizons for Children,2021-10-01,Classroom coaching session,2
Horizons for Children,2021-11-01,Classroom coaching session,1
Horizons for Children,2021-11-01,"Classroom coaching session,PD session",1
Horizons for Children,2022-03-01,Coaching session with the leadership team,2
Horizons for Children,2022-03-01,Classroom coaching session,3
YMCA Wang,2021-10-01,Classroom coaching session,2
YMCA Wang,2021-09-01,Coaching session with the leadership team,1
YMCA Wang,2021-09-01,Classroom coaching session,1
YMCA Wang,2021-11-01,PD session,1
YMCA Wang,2022-03-01,Classroom coaching session,1
Nurtury - Mt Pleasant,2021-11-01,"Coaching session with the leadership team,Classroom coaching session",2
YMCA Roxbury,2021-09-01,Coaching session with the leadership team,1
YMCA Roxbury,2021-09-01,Classroom coaching session,1
YMCA Roxbury,2021-10-01,Classroom coaching session,2
YMCA Roxbury,2021-11-01,Classroom coaching session,1
YMCA Roxbury,2021-12-01,Classroom coaching session,1
YMCA Roxbury,2022-02-01,Classroom coaching session,1
YMCA - West Roxbury,2021-09-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
YMCA - West Roxbury,2021-09-01,Classroom coaching session,1
YMCA - West Roxbury,2021-10-01,Classroom coaching session,1
YMCA - West Roxbury,2021-10-01,Coaching session with the leadership team,1
YMCA - West Roxbury,2021-11-01,Classroom coaching session,1
YMCA - West Roxbury,2021-12-01,Classroom coaching session,1
YMCA - West Roxbury,2021-12-01,Coaching session with the leadership team,1
YMCA - West Roxbury,2022-03-01,Coaching session with the leadership team,1
Wesley,2021-11-01,Classroom coaching session,2
Wesley,2021-12-01,Classroom coaching session,1
Wesley,2022-04-01,Classroom coaching session,1
Boys & Girls Club - Marr,2021-10-01,Classroom coaching session,1
Boys & Girls Club - Marr,2021-09-01,Coaching session with the leadership team,1
Boys & Girls Club - Marr,2021-12-01,Classroom coaching session,1
Boys & Girls Club - Marr,2022-04-01,Classroom coaching session,1
Boys & Girls Club - Marr,2022-03-01,PD session,1
Hattie B Cooper,2021-09-01,Coaching session with the leadership team,1
Hattie B Cooper,2021-10-01,Classroom coaching session,1
Hattie B Cooper,2021-12-01,Classroom coaching session,2
Hattie B Cooper,2022-03-01,Coaching session with the leadership team,1
Hattie B Cooper,2022-03-01,Classroom coaching session,1
VietAid,2022-03-01,"Coaching session with the leadership team,Classroom coaching session",1
3rd CBO TBD,2022-03-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
ABCD Roslindale,2021-10-01,Coaching session with the leadership team,1
ABCD Roslindale,2021-11-01,Classroom coaching session,1
ABCD Roslindale,2021-12-01,Classroom coaching session,1
ABCD Roslindale,2022-04-01,Coaching session with the leadership team,1
ABCD Hyde Park,2021-10-01,Classroom coaching session,1
ABCD Hyde Park,2021-12-01,Classroom coaching session,1
ABCD Hyde Park,2022-03-01,Classroom coaching session,1
